,Gene/Region,GRCh38,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82637)",7:75038895-75045096,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82636)",7:75006833-75013834,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82621)",7:74809162-74815663,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.21 population region (gnomAD-SV_v2.1_DEL_7_81890)",7:65646085-65679086,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7p22.1 population region (gnomAD-SV_v2.1_DEL_7_77893)",7:6779368-6787569,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7p22.1 population region (gnomAD-SV_v2.1_DEL_7_77769)",7:5937368-5942369,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7p22.1 population region (gnomAD-SV_v2.1_DEL_7_77765)",7:5901368-5913369,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q35.3 population region (gnomAD-SV_v2.1_DEL_5_65880)",5:181360998-181429999,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q35.3 population region (gnomAD-SV_v2.1_DEL_5_65831)",5:180948131-181003626,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q31.3 population region (gnomAD-SV_v2.1_DEL_5_63328)",5:140842551-140859346,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q13.2 population region (gnomAD-SV_v2.1_DEL_5_58900)",5:71031172-71039873,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q13.2 population region (gnomAD-SV_v2.1_DEL_5_58897)",5:71017172-71069273,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.3 population region (gnomAD-SV_v2.1_DEL_4_46753)",4:74448523-74457524,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.3 population region (gnomAD-SV_v2.1_DEL_4_46744)",4:74450282-74457283,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46404)",4:69286321-69395616,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46401)",4:69272345-69381447,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46399)",4:69260763-69369641,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1945)",1:25328508-25334859,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1943)",1:25313008-25323509,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1938)",1:25267208-25283709,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1834)",1:23957509-23964510,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"1q32.2 population region (gnomAD-SV_v2.1_DEL_1_11282)",1:207535404-207544705,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/16/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146627)",15:32593998-32605799,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146467)",15:30555746-30590897,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146464)",15:30532996-30560897,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146452)",15:30400796-30432997,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102099)",9:42571218-42576319,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102085)",9:42657618-42675119,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102046)",9:61087440-61092841,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102036)",9:67106870-67112071,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102032)",9:67082041-67101042,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102027)",9:61192272-61211173,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102025)",9:61196784-61203785,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"8q24.3 population region (gnomAD-SV_v2.1_DEL_8_98285)",8:144256043-144278794,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1944)",1:25317908-25323009,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1941)",1:25304408-25309509,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1939)",1:25287508-25294509,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"1p36.11 population region (gnomAD-SV_v2.1_DEL_1_1937)",1:25266308-25324509,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"16p13.11 population region (gnomAD-SV_v2.1_DEL_16_152730)",16:16235742-16270493,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/23/2021
G,A4GALT,22:42692115-42721301,"30 (Autosomal Recessive)","0 (No Evidence)",,,73.08,0,1.65,12/11/2014
G,AARS2,6:44297850-44313358,"30 (Autosomal Recessive)","Not Yet Evaluated",,,53.33,0,0.84,08/22/2016
G,AASS,7:122073544-122144269,"30 (Autosomal Recessive)","Not Yet Evaluated",,,45.6,0,0.81,08/22/2016
G,ABAT,16:8674617-8784575,"30 (Autosomal Recessive)","Not Yet Evaluated",,,41.04,0.01,0.57,08/22/2016
G,ABCB11,2:168915468-169031396,"30 (Autosomal Recessive)","0 (No Evidence)",,,30.88,0,0.64,07/08/2020
G,ABCC8,11:17392498-17476849,"30 (Autosomal Recessive)","0 (No Evidence)",,,1.79,0,0.77,02/24/2012
G,ABCG5,2:43806154-43838840,"30 (Autosomal Recessive)","Not Yet Evaluated",,,36.56,0,1.39,08/22/2016
G,ABCG8,2:43831942-43882988,"30 (Autosomal Recessive)","0 (No Evidence)",,,39.74,0,1.37,08/22/2016
G,ABHD12,20:25294743-25390835,"30 (Autosomal Recessive)","0 (No Evidence)",,,52.8,0,0.76,12/11/2014
G,ACAD8,11:134253538-134265858,"30 (Autosomal Recessive)","0 (No Evidence)",,,52.61,0,1.27,12/11/2014
G,ACADM,1:75724709-75763679,"30 (Autosomal Recessive)","0 (No Evidence)",,,29.48,0,1.15,08/22/2016
G,ACADSB,10:123009006-123058290,"30 (Autosomal Recessive)","Not Yet Evaluated",,,65.42,0,1.17,08/22/2016
G,ACADVL,17:7217125-7225266,"30 (Autosomal Recessive)","0 (No Evidence)",,,33.28,0,1.05,08/22/2016
G,ACOX1,17:75941507-75979199,"30 (Autosomal Recessive)","0 (No Evidence)",,,38.86,0.06,0.46,11/20/2014
G,ACP5,19:11574660-11578983,"30 (Autosomal Recessive)","0 (No Evidence)",,,66.32,0.08,0.72,08/22/2016
G,ACSF3,16:89093847-89160556,"30 (Autosomal Recessive)","0 (No Evidence)",,,79.2,0,1.77,08/22/2016
G,ADA2,22:17178790-17221854,"30 (Autosomal Recessive)","Not Yet Evaluated",,,85.15,0,1.07,08/22/2016
G,ADAM9,8:38996767-39105261,"30 (Autosomal Recessive)","0 (No Evidence)",,,58.29,0.03,0.42,12/11/2014
G,ADAMTS13,9:133414337-133459403,"30 (Autosomal Recessive)","Not Yet Evaluated",,,81.4,0,0.68,08/22/2016
G,ADAMTS17,15:99971437-100342924,"30 (Autosomal Recessive)","0 (No Evidence)",,,44.61,0,0.73,08/22/2016
G,ADAMTS18,16:77282128-77435034,"30 (Autosomal Recessive)","0 (No Evidence)",,,48.75,0,0.93,08/22/2016
G,ADAMTS2,5:179110853-179345461,"30 (Autosomal Recessive)","0 (No Evidence)",,,25.76,0.97,0.31,08/22/2016
G,ADAMTSL2,9:133532164-133575519,"30 (Autosomal Recessive)","0 (No Evidence)",,,62.46,0,0.74,08/22/2016
G,ADGRG1,16:57619535-57665567,"30 (Autosomal Recessive)","0 (No Evidence)",,,82.05,0,0.89,05/17/2012
G,ADGRV1,5:90558796-91164437,"30 (Autosomal Recessive)","0 (No Evidence)",,,25.58,0,0.52,08/23/2021
G,ADSL,22:40346500-40387527,"30 (Autosomal Recessive)","0 (No Evidence)",,,4.7,0,1.07,11/06/2015
G,AGA,4:177430774-177442469,"30 (Autosomal Recessive)","Not Yet Evaluated",,,51.89,0,1.04,08/22/2016
G,AGK,7:141551410-141662153,"30 (Autosomal Recessive)","0 (No Evidence)",,,51.17,0,0.88,11/20/2014
G,AGPAT2,9:136673143-136687457,"30 (Autosomal Recessive)","0 (No Evidence)",,,74.8,0,1.54,08/22/2016
G,AGRN,1:1020102-1056119,"30 (Autosomal Recessive)","0 (No Evidence)",,,71.13,0,0.44,08/22/2016
G,AGT,1:230702523-230745583,"30 (Autosomal Recessive)","0 (No Evidence)",,,59.54,0,1.45,11/13/2014
G,AGXT,2:240868824-240880500,"30 (Autosomal Recessive)","Not Yet Evaluated",,,70.08,0,1.03,08/22/2016
G,AHCY,20:34235012-34311976,"30 (Autosomal Recessive)","0 (No Evidence)",,,18.88,0.04,0.62,06/08/2016
G,AHI1,6:135283532-135497771,"30 (Autosomal Recessive)","0 (No Evidence)",,,32.57,0,0.95,09/06/2012
G,AICDA,12:8602170-8612970,"30 (Autosomal Recessive)","Not Yet Evaluated",,,24.45,0,1.33,08/22/2016
G,AIMP1,4:106315544-106349456,"30 (Autosomal Recessive)","0 (No Evidence)",,,22.3,0,1.22,08/22/2016
G,ALAD,9:113386312-113401301,"30 (Autosomal Recessive)","Not Yet Evaluated",,,32.28,0,0.87,08/22/2016
G,ALDH1A3,15:100879831-100916626,"30 (Autosomal Recessive)","0 (No Evidence)",,,34.78,0.14,0.51,08/22/2016
G,ALDH3A2,17:19648136-19677596,"30 (Autosomal Recessive)","Not Yet Evaluated",,,53.41,0,0.83,08/22/2016
G,ALDH4A1,1:18871430-18902580,"30 (Autosomal Recessive)","0 (No Evidence)",,,47.22,0,0.71,04/09/2015
G,ALDH5A1,6:24494969-24537207,"30 (Autosomal Recessive)","0 (No Evidence)",,,66.91,0,0.94,08/22/2016
G,ALDOA,16:30064279-30070420,"30 (Autosomal Recessive)","Not Yet Evaluated",,,11.28,0,0.76,08/22/2016
G,ALG1,16:5071825-5087379,"30 (Autosomal Recessive)","Not Yet Evaluated",,,67.9,0,1.5,08/22/2016
G,ALG12,22:49860163-49918469,"30 (Autosomal Recessive)","0 (No Evidence)",,,85.41,0,1.03,08/22/2016
G,ALG2,9:99216425-99221942,"30 (Autosomal Recessive)","Not Yet Evaluated",,,54.65,0,1.18,08/22/2016
G,ALG6,1:63367627-63438553,"30 (Autosomal Recessive)","Not Yet Evaluated",,,35.38,0,0.64,08/22/2016
G,ALMS1,2:73385758-73609919,"30 (Autosomal Recessive)","0 (No Evidence)",,,78.65,0,0.87,08/22/2016
G,ALS2,2:201700267-201781153,"30 (Autosomal Recessive)","0 (No Evidence)",,,15.08,0,0.52,08/22/2016
G,AMH,19:2249323-2252073,"30 (Autosomal Recessive)","Not Yet Evaluated",,,59.26,0,1.77,08/22/2016
G,AMN,14:102922430-102933597,"30 (Autosomal Recessive)","0 (No Evidence)",,,83.83,0,0.82,08/22/2016
G,ANGPTL3,1:62597520-62606313,"30 (Autosomal Recessive)","Not Yet Evaluated",,,48.8,0,1.3,08/22/2016
G,ANKS6,9:98732009-98796555,"30 (Autosomal Recessive)","Not Yet Evaluated",,,50.29,0,0.69,08/22/2016
G,ANTXR2,4:79901146-80073472,"30 (Autosomal Recessive)","0 (No Evidence)",,,4.33,0.09,0.5,08/22/2016
G,AP4B1,1:113894194-113905067,"30 (Autosomal Recessive)","0 (No Evidence)",,,41.21,0,0.83,08/22/2016
G,AP4S1,14:31025106-31096450,"30 (Autosomal Recessive)","0 (No Evidence)",,,19.1,0,1.63,08/22/2016
G,APOC2,19:44946051-44949565,"30 (Autosomal Recessive)","Not Yet Evaluated",,,88.9,0.4,0.94,08/22/2016
G,ARFGEF2,20:48921711-49036693,"30 (Autosomal Recessive)","0 (No Evidence)",,,27.35,1,0.25,08/22/2016
G,ARG1,6:131573226-131584329,"30 (Autosomal Recessive)","0 (No Evidence)",,,33.51,0,0.92,08/22/2016
G,ARL6,3:97762581-97812585,"30 (Autosomal Recessive)","0 (No Evidence)",,,10.16,0.01,0.92,08/22/2016
G,ARL6IP1,16:18791667-18801549,"30 (Autosomal Recessive)","Not Yet Evaluated",,,17.4,0.02,0.78,08/22/2016
G,ARSA,22:50622754-50628152,"30 (Autosomal Recessive)","0 (No Evidence)",,,63.58,0,1.34,09/05/2012
G,ASAH1,8:18055992-18084961,"30 (Autosomal Recessive)","0 (No Evidence)",,,65.81,0,1.18,09/12/2017
G,ASL,7:66075819-66093576,"30 (Autosomal Recessive)","Not Yet Evaluated",,,18.56,0,0.94,08/22/2016
G,ASPA,17:3473646-3503405,"30 (Autosomal Recessive)","0 (No Evidence)",,,37.65,0,1.1,08/22/2016
G,ASPH,8:61500556-61714609,"30 (Autosomal Recessive)","Not Yet Evaluated",,,46.75,0,0.82,08/22/2016
G,ASPM,1:197084127-197146669,"30 (Autosomal Recessive)","0 (No Evidence)",,,41.31,0,0.74,08/22/2016
G,ATCAY,19:3880685-3928082,"30 (Autosomal Recessive)","Not Yet Evaluated",,,64.83,0.62,0.45,08/22/2016
G,ATF6,1:161766320-161964070,"30 (Autosomal Recessive)","0 (No Evidence)",,,26.14,0,0.7,01/12/2017
G,ATP13A2,1:16985958-17011972,"30 (Autosomal Recessive)","Not Yet Evaluated",,,35.38,0,0.58,08/22/2016
G,ATP2A1,16:28878488-28904466,"30 (Autosomal Recessive)","0 (No Evidence)",,,24.7,0,0.83,08/22/2016
G,ATP6V0A2,12:123712353-123761755,"30 (Autosomal Recessive)","0 (No Evidence)",,,46.77,0,0.75,08/22/2016
G,ATP6V0A4,7:138706294-138799839,"30 (Autosomal Recessive)","Not Yet Evaluated",,,54.41,0,1,08/22/2016
G,ATP7B,13:51932669-52012130,"30 (Autosomal Recessive)","0 (No Evidence)",,,64.5,0,1.19,01/12/2017
G,ATPAF2,17:18015059-18039168,"30 (Autosomal Recessive)","0 (No Evidence)",,,45.43,0,1.44,08/22/2016
G,B3GALNT2,1:235440654-235504481,"30 (Autosomal Recessive)","Not Yet Evaluated",,,60.43,0,0.84,08/22/2016
G,B3GALT6,1:1232237-1235041,"30 (Autosomal Recessive)","0 (No Evidence)",,,73.2,0.02,1.43,08/22/2016
G,B4GALT1,9:33104077-33167336,"30 (Autosomal Recessive)","0 (No Evidence)",,,58.79,0.04,0.7,08/22/2016
G,B4GALT7,5:177600102-177610330,"30 (Autosomal Recessive)","0 (No Evidence)",,,41.46,0,1.11,08/22/2016
G,B9D1,17:19334695-19377913,"30 (Autosomal Recessive)","0 (No Evidence)",,,54.99,0,0.95,08/22/2016
G,BBS12,4:122700437-122744943,"30 (Autosomal Recessive)","0 (No Evidence)",,,80.48,0,0.96,08/22/2016
G,BBS5,2:169479494-169506655,"30 (Autosomal Recessive)","0 (No Evidence)",,,9.97,0,0.89,10/12/2015
G,BBS7,4:121824329-121870487,"30 (Autosomal Recessive)","Not Yet Evaluated",,,20.8,0,0.74,08/22/2016
G,BCHE,3:165772904-165837423,"30 (Autosomal Recessive)","Not Yet Evaluated",,,14.36,0,1.33,08/22/2016
G,BCKDHB,6:80106610-80469088,"30 (Autosomal Recessive)","Not Yet Evaluated",,,21.83,0,1.1,08/22/2016
G,BCKDK,16:31108381-31117651,"30 (Autosomal Recessive)","Not Yet Evaluated",,,35.16,0,0.87,08/22/2016
G,BCS1L,2:218659683-218663443,"30 (Autosomal Recessive)","0 (No Evidence)",,,13.17,0,1.24,08/22/2016
G,BIN1,2:127048023-127107154,"30 (Autosomal Recessive)","Not Yet Evaluated",,,41.75,0.78,0.37,08/22/2016
G,BLM,15:90717346-90816166,"30 (Autosomal Recessive)","0 (No Evidence)",,,37.81,0,0.75,02/09/2022
G,BLNK,10:96189171-96271569,"30 (Autosomal Recessive)","0 (No Evidence)",,,35.7,0.61,0.39,08/22/2016
G,BMPER,7:33904915-34156427,"30 (Autosomal Recessive)","Not Yet Evaluated",,,15,0,0.66,08/22/2016
G,BPNT2,8:56957931-56993874,"30 (Autosomal Recessive)","Not Yet Evaluated",,,43.21,0.02,0.84,08/22/2016
G,BRAT1,7:2537810-2555753,"30 (Autosomal Recessive)","0 (No Evidence)",,,81.22,0,1,08/22/2016
G,BSND,1:54998933-55017172,"30 (Autosomal Recessive)","0 (No Evidence)",,,78.77,0,1.78,05/17/2012
G,BTD,3:15601352-15722516,"30 (Autosomal Recessive)","0 (No Evidence)",,,76.15,0,1.3,05/21/2015
G,BUB1B,15:40161069-40221123,"30 (Autosomal Recessive)","0 (No Evidence)",,,14.21,0,0.58,02/02/2022
G,C19orf12,19:29698886-29715789,"30 (Autosomal Recessive)","0 (No Evidence)",,,77.08,0.34,1.06,08/22/2016
G,C1QB,1:22653236-22661637,"30 (Autosomal Recessive)","0 (No Evidence)",,,69.46,0.15,1.04,01/17/2017
G,CA12,15:63321378-63381846,"30 (Autosomal Recessive)","Not Yet Evaluated",,,56.48,0,1.33,08/22/2016
G,CA5A,16:87881549-87936575,"30 (Autosomal Recessive)","0 (No Evidence)",,,88.4,0,0.97,08/22/2016
G,CA8,8:60185412-60281400,"30 (Autosomal Recessive)","0 (No Evidence)",,,10.02,0.01,0.67,08/22/2016
G,CABP2,11:67518912-67523446,"30 (Autosomal Recessive)","0 (No Evidence)",,,58.19,0,0.97,08/20/2021
G,CABP4,11:67452403-67461774,"30 (Autosomal Recessive)","0 (No Evidence)",,,71.95,0,1.54,08/22/2016
G,CANT1,17:78991716-79009793,"30 (Autosomal Recessive)","Not Yet Evaluated",,,65.38,0,1.31,08/22/2016
G,CAPN3,15:42359501-42412317,"30 (Autosomal Recessive)","0 (No Evidence)",,,21.69,0,0.97,08/22/2016
G,CASQ2,1:115700021-115768714,"30 (Autosomal Recessive)","Not Yet Evaluated",,,18.61,0,1.38,08/22/2016
G,CATSPER2,15:43628503-43648884,"30 (Autosomal Recessive)","0 (No Evidence)",,,73.76,0,1.22,09/20/2012
G,CBS,21:43053190-43076873,"30 (Autosomal Recessive)","0 (No Evidence)",,,40.28,0,0.73,08/22/2016
G,CC2D2A,4:15468660-15601557,"30 (Autosomal Recessive)","0 (No Evidence)",,,79.39,0,0.78,07/17/2013
G,CCBE1,18:59430939-59698181,"30 (Autosomal Recessive)","Not Yet Evaluated",,,44.75,0,1.01,08/22/2016
G,CCDC103,17:44899729-44905390,"30 (Autosomal Recessive)","Not Yet Evaluated",,,67.25,0,1.36,08/22/2016
G,CCDC39,3:180614008-180679489,"30 (Autosomal Recessive)","0 (No Evidence)",,,54.04,0,0.75,08/22/2016
G,CCDC40,17:80036632-80100613,"30 (Autosomal Recessive)","Not Yet Evaluated",,,95.52,0,0.85,08/22/2016
G,CCDC8,19:46410329-46413564,"30 (Autosomal Recessive)","0 (No Evidence)",,,90.02,0.25,0.83,08/22/2016
G,CCN6,6:112052813-112069686,"30 (Autosomal Recessive)","Not Yet Evaluated",,,48.76,0,0.84,08/22/2016
G,CCT5,5:10249921-10266412,"30 (Autosomal Recessive)","0 (No Evidence)",,,23.05,1,0.19,08/22/2016
G,CD19,16:28931735-28939347,"30 (Autosomal Recessive)","Not Yet Evaluated",,,36.07,0.9,0.36,08/22/2016
G,CD27,12:6444867-6451718,"30 (Autosomal Recessive)","Not Yet Evaluated",,,67.27,0.01,0.92,08/22/2016
G,CD36,7:80602207-80679277,"30 (Autosomal Recessive)","Not Yet Evaluated",,,15.69,0,2,08/22/2016
G,CD3D,11:118338954-118342705,"30 (Autosomal Recessive)","Not Yet Evaluated",,,84.89,0,1.46,08/22/2016
G,CD3E,11:118304730-118316173,"30 (Autosomal Recessive)","0 (No Evidence)",,,86.63,0,0.92,05/09/2017
G,CD3G,11:118344344-118355161,"30 (Autosomal Recessive)","Not Yet Evaluated",,,82.39,0,1.22,08/22/2016
G,CD59,11:33703010-33736479,"30 (Autosomal Recessive)","Not Yet Evaluated",,,97.5,0.61,1,08/22/2016
G,CD8A,2:86784605-86808396,"30 (Autosomal Recessive)","0 (No Evidence)",,,84.5,0,1.5,08/22/2016
G,CDAN1,15:42723544-42737133,"30 (Autosomal Recessive)","0 (No Evidence)",,,40.71,0,0.68,08/22/2016
G,CDH23,10:71396920-71815947,"30 (Autosomal Recessive)","Not Yet Evaluated",,,15.83,0,0.57,08/22/2016
G,CDHR1,10:84194537-84219621,"30 (Autosomal Recessive)","Not Yet Evaluated",,,54.74,0,1.31,08/22/2016
G,CDIN1,15:36579611-36810248,"30 (Autosomal Recessive)","Not Yet Evaluated",,,2.88,0,1.06,08/22/2016
G,CDK5RAP2,9:120388875-120580167,"30 (Autosomal Recessive)","Not Yet Evaluated",,,55.08,0,0.66,08/22/2016
G,CDK6,7:92604921-92836573,"30 (Autosomal Recessive)","Not Yet Evaluated",,,1.6,0.98,0.28,08/22/2016
G,CDT1,16:88803789-88809258,"30 (Autosomal Recessive)","Not Yet Evaluated",,,45.26,0,1.22,08/22/2016
G,CEBPE,14:23117306-23119255,"30 (Autosomal Recessive)","Not Yet Evaluated",,,30.23,0.01,1,08/22/2016
G,CENPJ,13:24882279-24922889,"30 (Autosomal Recessive)","Not Yet Evaluated",,,54.37,0,0.97,08/22/2016
G,CEP164,11:117316346-117413266,"30 (Autosomal Recessive)","0 (No Evidence)",,,29.41,0,0.84,08/22/2016
G,CEP290,12:88049013-88142216,"30 (Autosomal Recessive)","0 (No Evidence)",,,13.34,0,0.99,08/22/2012
G,CEP78,9:78236075-78279690,"30 (Autosomal Recessive)","0 (No Evidence)",,,49.15,0,1.02,10/23/2017
G,CERS3,15:100400395-100544982,"30 (Autosomal Recessive)","Not Yet Evaluated",,,62.26,0.01,0.63,08/22/2016
G,CFAP418,8:95244913-95269201,"30 (Autosomal Recessive)","0 (No Evidence)",,,54.96,0,1.42,08/22/2016
G,CFAP53,18:50227193-50266495,"30 (Autosomal Recessive)","0 (No Evidence)",,,72.99,0,1.34,08/22/2016
G,CFD,19:859664-863641,"30 (Autosomal Recessive)","0 (No Evidence)",,,76.28,0,1.68,08/22/2016
G,CFL2,14:34709113-34714593,"30 (Autosomal Recessive)","Not Yet Evaluated",,,4.83,0,1.53,08/22/2016
G,CFTR,7:117480025-117668665,"30 (Autosomal Recessive)","Not Yet Evaluated",,,2.33,0,1.31,08/22/2016
G,CHAT,10:49609095-49667942,"30 (Autosomal Recessive)","Not Yet Evaluated",,,10,0,0.88,08/22/2016
G,CHKB,22:50578963-50582849,"30 (Autosomal Recessive)","0 (No Evidence)",,,60.19,0,0.92,08/22/2016
G,CHMP1A,16:89644435-89657708,"30 (Autosomal Recessive)","0 (No Evidence)",,,33.54,0,1.18,08/22/2016
G,CHST6,16:75472042-75495441,"30 (Autosomal Recessive)","0 (No Evidence)",,,57.77,0,1.82,08/22/2016
G,CHSY1,15:101175727-101252048,"30 (Autosomal Recessive)","0 (No Evidence)",,,54.01,0.71,0.41,08/22/2016
G,CIDEC,3:9866710-9880253,"30 (Autosomal Recessive)","0 (No Evidence)",,,62.02,0.01,0.94,08/22/2016
G,CLCF1,11:67364168-67374177,"30 (Autosomal Recessive)","Not Yet Evaluated",,,30.27,0.95,0.32,08/22/2016
G,CLCNKA,1:16022036-16034050,"30 (Autosomal Recessive)","0 (No Evidence)",,,75.9,0,1.12,05/17/2012
G,CLCNKB,1:16043782-16057326,"30 (Autosomal Recessive)","0 (No Evidence)",,,71.85,0,1.24,11/17/2011
G,CLDN14,21:36460621-36576569,"30 (Autosomal Recessive)","0 (No Evidence)",,,39.29,0,1.75,08/22/2016
G,CLMP,11:123069872-123195248,"30 (Autosomal Recessive)","0 (No Evidence)",,,26.76,0,1,08/22/2016
G,CLN3,16:28466653-28492082,"30 (Autosomal Recessive)","Not Yet Evaluated",,,55,0,0.91,08/22/2016
G,CLN8,8:1755778-1786570,"30 (Autosomal Recessive)","Not Yet Evaluated",,,76.78,0,1.17,08/22/2016
G,CLPP,19:6361531-6370242,"30 (Autosomal Recessive)","0 (No Evidence)",,,37.05,0.57,0.57,03/06/2018
G,CLRN1,3:150926163-150972999,"30 (Autosomal Recessive)","0 (No Evidence)",,,42.65,0,1.81,08/22/2016
G,CNGB1,16:57882340-57971128,"30 (Autosomal Recessive)","Not Yet Evaluated",,,68.86,0,1.15,08/22/2016
G,CNNM4,2:96760902-96811888,"30 (Autosomal Recessive)","Not Yet Evaluated",,,64.14,0,0.94,08/22/2016
G,CNTN1,12:40692429-41072415,"30 (Autosomal Recessive)","Not Yet Evaluated",,,22.29,0.15,0.37,08/22/2016
G,CNTN2,1:205042937-205078289,"30 (Autosomal Recessive)","0 (No Evidence)",,,20.14,0,0.44,08/22/2016
G,COG1,17:73193055-73208507,"30 (Autosomal Recessive)","Not Yet Evaluated",,,67.93,0,0.65,08/22/2016
G,COG4,16:70480567-70523554,"30 (Autosomal Recessive)","Not Yet Evaluated",,,21.66,0,0.71,08/22/2016
G,COG7,16:23388493-23453215,"30 (Autosomal Recessive)","0 (No Evidence)",,,68.01,0,0.66,04/09/2015
G,COG8,16:69326428-69339564,"30 (Autosomal Recessive)","0 (No Evidence)",,,32.72,0,1.13,03/25/2015
